iso3,year,gdppc
IMN,2017,93200.3108083857
IMN,2016,90783.7647245394
IMN,2015,84753.5187422732
IMN,2014,84778.5806639347
IMN,2013,80383.8273088527
IMN,2012,77009.2978612012
IMN,2011,71727.5055082703
IMN,2010,70747.8417587183
IMN,2009,69192.0258221691
IMN,2008,68520.6825624937
IMN,2007,66029.9755907183
IMN,2006,62075.7601604994
IMN,2005,58201.5990838178
IMN,2004,55464.0220993356
IMN,2003,53224.3527757804
IMN,2002,50714.5824703383
IMN,2001,48252.7638498277
IMN,2000,46274.9709691403
ISR,2024,41882.0474698252
ISR,2023,42131.7415675806
ISR,2022,42539.2748766689
ISR,2021,40788.2391785198
ISR,2020,37938.3809354755
ISR,2019,39322.038041422
ISR,2018,38695.0100079706
ISR,2017,37911.0217281157
ISR,2016,37044.0118623764
ISR,2015,36138.13561386
ISR,2014,36055.08530225
ISR,2013,35436.2912873273
ISR,2012,34685.0915981013
ISR,2011,34499.9509262825
ISR,2010,33307.1044316197
ISR,2009,32139.1146490917
ISR,2008,32519.7624461575
ISR,2007,32071.3107404162
ISR,2006,30707.435814097
ISR,2005,29600.1467243332
ISR,2004,28870.0080868057
ISR,2003,28079.3253966943
ISR,2002,28186.5548167752
ISR,2001,28804.0396341969
ISR,2000,29411.4999428787
ITA,2024,34508.1235191237
ITA,2023,34221.7182928271
ITA,2022,33891.8866526216
ITA,2021,32267.7091050201
ITA,2020,29469.7989238626
ITA,2019,32180.4341017428
ITA,2018,31963.6417148824
ITA,2017,31635.52277108
ITA,2016,31077.6792675211
ITA,2015,30639.8829751432
ITA,2014,30325.0287793923
ITA,2013,30330.0221599668
ITA,2012,30953.4147447427
ITA,2011,32039.5032494316
ITA,2010,31928.5543621096
ITA,2009,31587.0638416305
ITA,2008,33550.6340800063
ITA,2007,34159.9109244074
ITA,2006,33873.0493680093
ITA,2005,33407.6754716472
ITA,2004,33348.9744820456
ITA,2003,33110.1698494812
ITA,2002,33267.4474482048
ITA,2001,33243.599343976
ITA,2000,32609.66746283
JAM,2024,6096.4327030963
JAM,2023,6127.90771263434
JAM,2022,5965.46127464873
JAM,2021,5607.45378253877
JAM,2020,5317.84145033966
JAM,2019,5814.79275311692
JAM,2018,5717.87621107532
JAM,2017,5586.1365723133
JAM,2016,5472.28314023034
JAM,2015,5339.30718256806
JAM,2014,5307.19165380801
JAM,2013,5289.88438546111
JAM,2012,5284.00852557589
JAM,2011,5339.62170188798
JAM,2010,5271.57221477938
JAM,2009,5372.14234169511
JAM,2008,5639.58974873397
JAM,2007,5710.53878446758
JAM,2006,5656.66803579988
JAM,2005,5525.73577833713
JAM,2004,5507.20135110043
JAM,2003,5467.17406988236
JAM,2002,5305.87658697244
JAM,2001,5234.02744397806
JAM,2000,5197.39692210665
JPN,2024,37976.6371788298
JPN,2023,37902.5492204411
JPN,2022,37448.3504824849
JPN,2021,36792.556429474
JPN,2020,35363.2996951789
JPN,2019,36837.2583653113
JPN,2018,36899.3847079435
JPN,2017,36547.7357437305
JPN,2016,35934.4467886662
JPN,2015,35664.6446110613
JPN,2014,34996.8796756631
JPN,2013,34636.6924746166
JPN,2012,33909.4911855243
JPN,2011,33306.1802259719
JPN,2010,33311.2872381879
JPN,2009,31993.8588053706
JPN,2008,34008.5915147362
JPN,2007,34426.6937124867
JPN,2006,33880.6890093456
